,Unnamed: 0,filename,sr,cleaned_sr,length,cleaned_length,emotion,emo_label,intensity,int_label,stmt,stmt_label,repetition,sex,sex_label,actor,neutral,calm,happy,sad,angry,fearful,disgust,surprised,y_pred
0,0,01-01-01-01-01.wav,48000,16000,3.3032916666666665,1.5159375,neutral,0,1,normal,1,Kids are talking by the door,1,male,1,1,0.464253306388855,0.23780131340026855,0.03310900181531906,0.1430799812078476,0.02465682476758957,0.03275897353887558,0.04194258898496628,0.02239801548421383,neutral
1,1,01-01-01-02-01.wav,48000,16000,3.3366666666666664,1.6495625,neutral,0,1,normal,1,Kids are talking by the door,2,male,1,1,0.3371143639087677,0.2794480621814728,0.050273772329092026,0.1441630870103836,0.03929347172379494,0.04837677255272865,0.054599225521087646,0.046731218695640564,neutral
2,2,01-01-02-01-01.wav,48000,16000,3.2699166666666666,1.419875,neutral,0,1,normal,2,Dogs are sitting by the door,1,male,1,1,0.3673163950443268,0.32314106822013855,0.05143347382545471,0.14449799060821533,0.008527482859790325,0.042911142110824585,0.03180650249123573,0.03036593832075596,neutral
3,3,01-01-02-02-01.wav,48000,16000,3.169833333333333,1.3514375,neutral,0,1,normal,2,Dogs are sitting by the door,2,male,1,1,0.41242724657058716,0.24635489284992218,0.04599565267562866,0.1581680029630661,0.01106096338480711,0.047514937818050385,0.034210946410894394,0.0442674346268177,neutral
4,4,02-01-01-01-01.wav,48000,16000,3.536854166666666,1.7140625,calm,1,1,normal,1,Kids are talking by the door,1,male,1,1,0.24338626861572266,0.5079413652420044,0.020906157791614532,0.11912906914949417,0.011823749169707298,0.02393154427409172,0.05812079459428787,0.014761104248464108,calm
5,5,02-01-01-02-01.wav,48000,16000,3.603583333333333,1.82925,calm,1,1,normal,1,Kids are talking by the door,2,male,1,1,0.1872878223657608,0.5320298075675964,0.022694570943713188,0.1297798752784729,0.031439803540706635,0.03058091551065445,0.03973139822483063,0.026455845683813095,calm
6,6,02-01-02-01-01.wav,48000,16000,3.5035,1.8061875,calm,1,1,normal,2,Dogs are sitting by the door,1,male,1,1,0.2293449491262436,0.511009156703949,0.022519782185554504,0.1278645247220993,0.010226789861917496,0.02477169595658779,0.05712107941508293,0.01714194007217884,calm
7,7,02-01-02-02-01.wav,48000,16000,3.470145833333333,1.6786875,calm,1,1,normal,2,Dogs are sitting by the door,2,male,1,1,0.22733372449874878,0.51553875207901,0.017814477905631065,0.1513739675283432,0.0033346032723784447,0.01751946099102497,0.04956144839525223,0.017523568123579025,calm
8,8,02-02-01-01-01.wav,48000,16000,3.703708333333333,1.9084375,calm,1,2,strong,1,Kids are talking by the door,1,male,1,1,0.14322952926158905,0.5601372718811035,0.014917142689228058,0.1483404040336609,0.01593538001179695,0.03621042147278786,0.06167592480778694,0.01955396682024002,calm
9,9,02-02-01-02-01.wav,48000,16000,4.004,2.2853125,calm,1,2,strong,1,Kids are talking by the door,2,male,1,1,0.1322491466999054,0.5527064800262451,0.02871539071202278,0.11733972281217575,0.020856332033872604,0.034806620329618454,0.09476053714752197,0.018565770238637924,calm
10,10,02-02-02-01-01.wav,48000,16000,4.204208333333334,2.418,calm,1,2,strong,2,Dogs are sitting by the door,1,male,1,1,0.17025746405124664,0.48432350158691406,0.024346694350242615,0.18404905498027802,0.018434645608067513,0.04160558059811592,0.05303467437624931,0.023948432877659798,calm
