,filename,sr,cleaned_sr,length,cleaned_length,emotion,emo_label,intensity,int_label,stmt,stmt_label,repetition,sex,sex_label,actor
0,01-01-01-01-01.wav,48000,16000,3.3032916666666665,1.5159375,neutral,0,01,normal,01,Kids are talking by the door,01,male,1,01
1,01-01-01-02-01.wav,48000,16000,3.3366666666666664,1.6495625,neutral,0,01,normal,01,Kids are talking by the door,02,male,1,01
2,01-01-02-01-01.wav,48000,16000,3.2699166666666666,1.419875,neutral,0,01,normal,02,Dogs are sitting by the door,01,male,1,01
3,01-01-02-02-01.wav,48000,16000,3.1698333333333335,1.3514375,neutral,0,01,normal,02,Dogs are sitting by the door,02,male,1,01
4,02-01-01-01-01.wav,48000,16000,3.5368541666666666,1.7140625,calm,1,01,normal,01,Kids are talking by the door,01,male,1,01
5,02-01-01-02-01.wav,48000,16000,3.6035833333333334,1.82925,calm,1,01,normal,01,Kids are talking by the door,02,male,1,01
6,02-01-02-01-01.wav,48000,16000,3.5035,1.8061875,calm,1,01,normal,02,Dogs are sitting by the door,01,male,1,01
7,02-01-02-02-01.wav,48000,16000,3.4701458333333335,1.6786875,calm,1,01,normal,02,Dogs are sitting by the door,02,male,1,01
8,02-02-01-01-01.wav,48000,16000,3.703708333333333,1.9084375,calm,1,02,strong,01,Kids are talking by the door,01,male,1,01
9,02-02-01-02-01.wav,48000,16000,4.004,2.2853125,calm,1,02,strong,01,Kids are talking by the door,02,male,1,01
10,02-02-02-01-01.wav,48000,16000,4.204208333333334,2.418,calm,1,02,strong,02,Dogs are sitting by the door,01,male,1,01
11,02-02-02-02-01.wav,48000,16000,4.004,2.3378125,calm,1,02,strong,02,Dogs are sitting by the door,02,male,1,01
12,03-01-01-01-01.wav,48000,16000,3.4701458333333335,1.719875,happy,2,01,normal,01,Kids are talking by the door,01,male,1,01
13,03-01-01-02-01.wav,48000,16000,3.470125,1.8448125,happy,2,01,normal,01,Kids are talking by the door,02,male,1,01
14,03-01-02-01-01.wav,48000,16000,3.5368541666666666,1.843875,happy,2,01,normal,02,Dogs are sitting by the door,01,male,1,01
